,YEAR,TEAM,CONF,G,WINS,LOSSES,W%,ADJOE,ADJDE,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB,SEED,FINISH,T_WINS,Corrected_Expected_Wins,Cinderella
83,2009,West Virginia,BE,34.0,23.0,11.0,0.676,113.7,88.9,48.6,46.4,18.2,23.6,41.0,31.4,35.5,38.3,48.1,47.1,33.1,30.0,33.8,30.3,65.8,3.9,6.0,R64,0.0,1,-1.0
84,2009,Wisconsin,B10,31.0,19.0,12.0,0.613,112.7,94.8,50.6,49.1,16.9,19.2,32.3,26.1,35.2,33.3,48.1,49.3,36.9,32.3,34.6,30.5,60.4,0.3,12.0,R32,1.0,0,1.0
85,2009,Villanova,BE,33.0,26.0,7.0,0.788,112.4,91.0,51.5,47.4,19.2,22.2,35.6,30.7,42.7,37.9,49.8,45.0,36.8,33.9,31.6,41.2,68.2,6.0,3.0,Final Four,4.0,2,2.0
86,2009,Boston College,ACC,33.0,22.0,11.0,0.667,112.3,99.3,50.0,47.2,19.6,18.4,40.8,37.1,37.0,34.7,49.7,46.4,33.7,32.7,32.2,30.1,67.0,0.6,7.0,R64,0.0,1,-1.0
87,2009,Michigan St.,B10,32.0,26.0,6.0,0.812,112.0,89.8,50.1,47.6,21.1,20.8,40.9,26.1,41.8,35.4,49.1,47.3,35.3,32.0,26.2,38.5,68.1,7.4,2.0,Finals,5.0,4,1.0
88,2009,Ohio St.,B10,32.0,22.0,10.0,0.688,111.7,95.1,55.1,48.1,20.9,21.0,28.4,33.6,38.3,24.0,54.1,44.9,37.9,35.2,35.4,40.9,64.1,3.2,8.0,R64,0.0,1,-1.0
89,2009,North Dakota St.,Sum,30.0,24.0,6.0,0.8,111.7,101.1,54.3,49.7,16.9,18.9,32.9,27.6,37.8,29.6,51.8,48.3,40.2,35.7,30.2,25.8,69.2,-0.7,14.0,R64,0.0,0,0.0
90,2009,Washington,P10,32.0,24.0,8.0,0.75,111.5,90.1,49.1,47.1,20.2,20.2,41.9,30.7,45.2,33.2,48.6,45.9,34.1,33.3,20.6,28.8,73.8,4.9,4.0,R32,1.0,2,-1.0
91,2009,Texas A&M,B12,31.0,22.0,9.0,0.71,110.6,96.2,50.2,48.5,19.4,18.6,36.6,29.7,47.6,29.5,48.1,46.1,36.7,35.9,30.5,30.4,65.1,1.9,9.0,R32,1.0,0,1.0
92,2009,LSU,SEC,33.0,26.0,7.0,0.788,110.6,95.2,49.6,45.0,17.6,19.2,37.6,30.4,36.1,34.9,47.5,44.4,36.9,31.1,27.2,29.6,66.7,2.5,8.0,R32,1.0,1,0.0
93,2009,Michigan,B10,32.0,19.0,13.0,0.594,110.5,95.8,50.3,49.3,17.7,21.5,28.4,32.4,28.6,29.5,50.9,50.2,33.2,31.7,47.7,33.4,64.6,0.9,10.0,R32,1.0,0,1.0
94,2009,Wake Forest,ACC,30.0,24.0,6.0,0.8,110.3,90.1,52.3,44.9,20.9,21.2,36.2,30.8,43.7,32.7,53.5,44.8,31.8,30.2,21.2,35.7,73.8,5.2,4.0,R64,0.0,2,-2.0
95,2009,Utah,MWC,32.0,24.0,8.0,0.75,110.0,92.1,54.9,44.7,20.7,15.8,27.0,25.3,39.9,35.9,53.9,41.9,37.6,35.0,38.0,26.6,65.7,2.8,5.0,R64,0.0,1,-1.0
96,2009,Louisville,BE,33.0,28.0,5.0,0.848,109.9,84.6,51.9,44.0,19.7,23.6,34.7,31.8,32.2,31.4,50.5,43.2,36.0,30.4,37.6,30.4,68.7,8.1,1.0,Elite Eight,3.0,5,-2.0
97,2009,Texas,B12,33.0,22.0,11.0,0.667,109.8,90.8,48.1,45.9,18.4,20.2,39.2,32.9,38.5,36.3,48.1,43.5,32.1,34.0,24.2,31.3,66.6,2.6,7.0,R32,1.0,1,0.0
98,2009,Xavier,A10,32.0,25.0,7.0,0.781,109.5,90.6,52.7,44.1,21.5,18.2,37.2,27.9,46.5,33.4,49.2,41.7,40.0,33.0,32.9,30.5,67.4,2.9,4.0,Sweet Sixteen,2.0,2,0.0
99,2009,Memphis,CUSA,34.0,31.0,3.0,0.912,109.4,81.8,49.3,40.4,18.2,23.0,38.2,30.3,39.7,34.3,49.9,39.0,32.0,29.3,31.0,28.4,67.8,7.1,2.0,Sweet Sixteen,2.0,4,-2.0
100,2009,Siena,MAAC,33.0,26.0,7.0,0.788,108.9,97.5,51.6,49.1,18.1,23.3,33.9,34.8,36.3,24.1,52.0,48.3,33.5,33.8,25.3,32.3,71.9,0.3,9.0,R32,1.0,0,1.0
101,2009,Purdue,B10,34.0,25.0,9.0,0.735,108.9,87.1,50.7,43.9,17.6,22.8,29.4,31.4,33.4,31.0,49.7,41.6,35.1,32.8,34.4,31.1,67.8,3.9,5.0,Sweet Sixteen,2.0,1,1.0
102,2009,Butler,Horz,30.0,25.0,5.0,0.833,108.6,93.3,51.7,44.3,20.0,20.8,32.3,29.6,43.3,33.8,50.7,42.0,35.3,32.3,45.2,35.3,63.8,2.5,9.0,R64,0.0,0,0.0
103,2009,Northern Iowa,MVC,32.0,22.0,10.0,0.688,108.6,99.8,51.9,48.8,18.4,17.0,28.3,26.6,42.6,31.5,51.9,46.2,34.5,35.3,37.1,38.1,62.2,-1.6,12.0,R64,0.0,0,0.0
104,2009,Western Kentucky,SB,31.0,23.0,8.0,0.742,108.1,102.2,51.9,49.1,20.2,20.0,37.5,31.4,34.0,32.0,49.8,47.6,37.0,34.8,37.4,32.1,66.4,-2.0,12.0,R32,1.0,0,1.0
105,2009,USC,P10,33.0,21.0,12.0,0.636,107.9,90.1,51.0,46.5,21.4,19.7,37.4,30.7,42.2,32.1,51.4,44.3,32.9,33.7,21.7,34.7,65.0,2.5,10.0,R32,1.0,0,1.0
106,2009,VCU,CAA,33.0,24.0,9.0,0.727,107.9,95.3,52.2,45.0,19.0,21.8,32.2,34.2,36.3,37.7,50.7,42.6,36.9,33.4,32.0,31.7,67.4,-2.1,11.0,R64,0.0,0,0.0
107,2009,Temple,A10,33.0,22.0,11.0,0.667,107.5,94.0,51.3,46.0,19.3,18.1,32.7,29.8,28.5,29.8,49.1,43.3,36.7,34.3,36.9,32.9,65.0,-0.4,11.0,R64,0.0,0,0.0
108,2009,Maryland,ACC,33.0,20.0,13.0,0.606,107.4,94.1,46.8,47.5,17.9,22.5,35.0,36.9,27.7,29.8,45.7,45.5,33.1,34.4,27.9,33.9,68.0,0.1,10.0,R32,1.0,0,1.0
109,2009,Mississippi St.,SEC,34.0,22.0,12.0,0.647,107.2,95.2,50.3,44.7,19.8,18.9,31.2,35.5,41.3,29.4,47.8,42.0,36.1,33.9,40.0,31.0,68.7,-1.6,13.0,R64,0.0,0,0.0
